industry_code,industry_sub_code,code,is_main,desc
022,0042,3861,True,【国内トップ級】印刷用紙と段ボール大手。海外に展開進む。
022,0042,3941,True,【段ボール最大手】99年にセッツと合併。原紙から箱まで一貫生産。
022,0042,3950,True,【包装製品製造大手】紙袋、ポリ袋など商業用包装材が主力。
022,0042,3708,True,【特種製紙と東海パルプが経営統合】産業用、特殊紙、家庭紙が柱。
022,0042,3946,True,【段ボール大手】加工専業。東日本で高シェア。住宅事業も。
022,0042,3947,True,【包装資材】大日本紙業と日本ハイパックが合併。中部地区が地盤。
022,0042,3952,True,【段ボールメーカー】トヨタグループ。自動車、家電向けが中心。
022,0042,3944,True,【包装容器メーカー】印刷紙主体。食品、洗剤メーカーに強み。
022,0042,3892,True,【王子紙系】段ボール用中芯や紙管原紙が主力。美粧段ボールも。
022,0042,3953,True,【段ボール製品製造】小ロット・多品種生産に強み。特殊品も。
022,0043,8113,True,【衛生用品大手】紙おむつ、生理用品に強み。海外比率が高い。
022,0044,3951,True,【印刷包装材大手】医薬品、化粧品用包装材が中心。
022,0044,3945,True,【買い物袋大手】紙袋やポリ袋などを小売店向けに販売。
022,0044,3956,True,【計測用記録紙大手】記録紙は電力会社向けが主体。ラベル紙にも注力。
023,0051,4063,True,【塩ビ樹脂世界一】半導体ウエハー、セルロースもシェア高い。
023,0051,3407,True,【総合化学】住宅、化学品、医療、繊維、建材などに多角化。
023,0051,4188,True,【総合化学首位】エチレン生産最大。医薬も柱。電材、炭素も強い。
023,0051,4005,True,【総合化学大手】医薬、電子材料にも強み。アジア売上高比率高い。
023,0051,4183,True,【総合化学大手】フェノール最大手。電材、機能性樹脂にも展開。
023,0051,4042,True,【塩ビ・ソーダ大手】アジア最大級。石化、計測器関連にも展開。
023,0051,4004,True,【石化・アルミ大手】ハードディスクなどエレクトロニクス事業も。
023,0051,4208,True,【化学大手】セメント、機械などへ展開。特殊化学品に注力。
023,0052,4189,True,【冷凍機油原料大手】化粧品原料などファインケミカル路線を推進。
