code,industry_code,industry_sub_code,is_main,desc,industry_sub_name,num,industry_name,nk225,nk225hdy,nk225de,nk225ge,jpxnkms,nkcrs50,date,name,category,industry33code,industry33category,industry17code,industry17category,sizecode,sizecategory
5020,11,11,true,【石油元売り最大手】新日本石油、新日鉱ホールディングスが統合。,石油開発・精製・販売,7,鉱業・エネルギー開発,true,true,false,false,false,true,2019-09-30 00:00:00.000000,ＪＸＴＧホールディングス,市場第一部（内国株）,3300,石油・石炭製品,2,エネルギー資源 ,2,TOPIX Large70
1605,11,11,true,【資源開発最大手】国際石油開発と帝国石油が統合。海外に強み。,石油開発・精製・販売,7,鉱業・エネルギー開発,true,false,false,false,false,false,2019-09-30 00:00:00.000000,国際石油開発帝石,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,2,TOPIX Large70
5019,11,11,true,【元売り大手】独立系で利益力に定評。JXと業務提携。,石油開発・精製・販売,7,鉱業・エネルギー開発,true,false,false,false,false,false,2019-09-30 00:00:00.000000,出光興産,市場第一部（内国株）,3300,石油・石炭製品,2,エネルギー資源 ,4,TOPIX Mid400
5021,11,11,true,【元売り大手】販売・リースに強み。アブダビ政府系ファンド筆頭株主。,石油開発・精製・販売,7,鉱業・エネルギー開発,false,false,false,false,false,false,2019-09-30 00:00:00.000000,コスモエネルギーホールディングス,市場第一部（内国株）,3300,石油・石炭製品,2,エネルギー資源 ,4,TOPIX Mid400
1662,11,11,true,【資源開発大手】新潟、北海道で探鉱、生産、開発。海外事業も。,石油開発・精製・販売,7,鉱業・エネルギー開発,false,false,false,false,false,false,2019-09-30 00:00:00.000000,石油資源開発,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,6,TOPIX Small 1
5008,11,11,true,【石油精製受託】昭和シェルから受託。東電向け卸電力にも進出。,石油開発・精製・販売,7,鉱業・エネルギー開発,false,false,false,false,false,false,2019-09-30 00:00:00.000000,東亜石油,市場第二部（内国株）,3300,石油・石炭製品,2,エネルギー資源 ,0,
5017,11,11,true,【石油元売り】アラビア石油と富士石油による共同持ち株会社。,石油開発・精製・販売,7,鉱業・エネルギー開発,false,false,false,false,false,false,2019-09-30 00:00:00.000000,富士石油,市場第一部（内国株）,3300,石油・石炭製品,2,エネルギー資源 ,7,TOPIX Small 2
1515,11,12,true,【新日鉄住金系】鉄鋼向け石灰石が主力。チリ鉱山など海外展開も。,石炭・石灰石開発・販売,4,鉱業・エネルギー開発,false,false,false,false,false,false,2019-09-30 00:00:00.000000,日鉄鉱業,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
3315,11,12,true,【再構築】石炭、コークスが柱。化学装置・機器の製造も手掛ける。,石炭・石灰石開発・販売,4,鉱業・エネルギー開発,false,false,false,false,false,false,2019-09-30 00:00:00.000000,日本コークス工業,市場第一部（内国株）,3300,石油・石炭製品,2,エネルギー資源 ,7,TOPIX Small 2
1518,11,12,true,【石炭商社】海外一般炭輸入中心。豪州、インドネシアに権益。,石炭・石灰石開発・販売,4,鉱業・エネルギー開発,false,false,false,false,false,false,2019-09-30 00:00:00.000000,三井松島ホールディングス,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
1514,11,12,true,【石炭大手】石炭の輸入販売が主体。先端素材、砕石販売も。,石炭・石灰石開発・販売,4,鉱業・エネルギー開発,false,false,false,false,false,false,2019-09-30 00:00:00.000000,住石ホールディングス,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
1663,11,13,true,【千葉県産天然ガス】関東天然瓦斯開発と大多喜ガスが統合。,天然ガス開発・精製・販売,1,鉱業・エネルギー開発,false,false,false,false,false,false,2019-09-30 00:00:00.000000,Ｋ＆Ｏエナジーグループ,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
9502,12,21,true,【全国3位の大手】中部財界の雄。電力、ガスなど本業に注力。,電力供給サービス,16,電力・ガス,true,false,true,false,false,false,2019-09-30 00:00:00.000000,中部電力,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス ,2,TOPIX Large70
9503,12,21,true,【高い原発依存度】関西経済界の代表格。原発代替電源確保が課題。,電力供給サービス,16,電力・ガス,true,false,true,false,false,false,2019-09-30 00:00:00.000000,関西電力,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス ,2,TOPIX Large70
9501,12,21,true,【公的管理】原発事故の賠償と廃炉、電力の安定供給に取り組む。,電力供給サービス,16,電力・ガス,true,false,true,false,false,false,2019-09-30 00:00:00.000000,東京電力ホールディングス,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス ,4,TOPIX Mid400
9506,12,21,true,【震災対応が課題】東北圏7県に供給。電機など大口向け比率高い。,電力供給サービス,16,電力・ガス,false,false,false,false,false,false,2019-09-30 00:00:00.000000,東北電力,市場第一部（内国株）,4050,電気・ガス業,11,電力・ガス ,4,TOPIX Mid400
